05.98368, 116.15557, 
05.98403, 116.15867, 
05.98404, 116.15870, 
05.98413, 116.15940, 
05.98415, 116.15946, 
05.98437, 116.16059, 
05.98453, 116.16120, 
05.98455, 116.16132, 
05.98455, 116.16142, 
05.98456, 116.16153, 
05.98456, 116.16166, 
05.98455, 116.16175, 
05.98450, 116.16194, 
05.98445, 116.16206, 
05.98431, 116.16228, 
05.98400, 116.16258, 
05.98341, 116.16309, 
05.98282, 116.16354, 
05.98231, 116.16278, 
05.98215, 116.16248, 
05.98196, 116.16203, 
05.98181, 116.16159, 
05.98178, 116.16148, 
05.98173, 116.16135, 
05.98158, 116.16102, 
05.98142, 116.16061, 
05.98132, 116.16041, 
05.98128, 116.16028, 
05.98109, 116.15995, 
05.98096, 116.15977, 
05.98063, 116.15945, 
05.98034, 116.15924, 
05.98003, 116.15909, 
05.97952, 116.15891, 
05.97936, 116.15890, 
05.97917, 116.15894, 
05.97903, 116.15895, 
05.97877, 116.15891, 
05.97855, 116.15885, 
05.97776, 116.15884, 
05.97737, 116.15889, 
05.97709, 116.15884, 
05.97693, 116.15882, 
05.97592, 116.15879, 
05.97548, 116.15880, 
05.97538, 116.15878, 
05.97515, 116.15868, 
05.97504, 116.15865, 
05.97447, 116.15844, 
05.97418, 116.15823, 
05.97401, 116.15815, 
05.97381, 116.15797, 
05.97367, 116.15786, 
05.97325, 116.15737, 
05.97325, 116.15736, 
05.97294, 116.15692, 
05.97283, 116.15674, 
05.97247, 116.15623, 
05.97237, 116.15606, 
05.97228, 116.15593, 
05.97216, 116.15581, 
05.97214, 116.15578, 
05.97180, 116.15539, 
05.97162, 116.15521, 
05.97149, 116.15506, 
05.97118, 116.15474, 
05.97085, 116.15436, 
05.97080, 116.15429, 
05.97056, 116.15402, 
05.96966, 116.15313, 
05.96965, 116.15313, 
05.96947, 116.15294, 
05.96922, 116.15275, 
05.96901, 116.15262, 
05.96894, 116.15259, 
05.96862, 116.15242, 
05.96810, 116.15225, 
05.96794, 116.15218, 
05.96788, 116.15217, 
05.96782, 116.15215, 
05.96781, 116.15215, 
05.96767, 116.15209, 
05.96733, 116.15198, 
05.96678, 116.15178, 
05.96611, 116.15148, 
05.96578, 116.15131, 
05.96551, 116.15114, 
05.96489, 116.15069, 
05.96437, 116.15025, 
05.96422, 116.15010, 
05.96386, 116.14970, 
05.96378, 116.14957, 
05.96352, 116.14933, 
05.96324, 116.14915, 
05.96316, 116.14907, 
05.96289, 116.14870, 
05.96283, 116.14860, 
05.96278, 116.14848, 
05.96269, 116.14836, 
05.96254, 116.14822, 
05.96195, 116.14762, 
05.96185, 116.14750, 
05.96183, 116.14747, 
05.96179, 116.14737, 
05.96179, 116.14735, 
05.96165, 116.14704, 
05.96156, 116.14687, 
05.96148, 116.14667, 
05.96145, 116.14653, 
05.96144, 116.14651, 
05.96138, 116.14621, 
05.96135, 116.14610, 
05.96123, 116.14583, 
05.96112, 116.14549, 
05.96097, 116.14518, 
05.96092, 116.14506, 
05.96081, 116.14486, 
05.96061, 116.14454, 
05.96051, 116.14440, 
05.96042, 116.14429, 
05.96030, 116.14412, 
05.95993, 116.14370, 
05.95974, 116.14352, 
05.95929, 116.14315, 
05.95893, 116.14289, 
05.95815, 116.14243, 
05.95782, 116.14225, 
05.95706, 116.14180, 
05.95671, 116.14162, 
05.95640, 116.14144, 
05.95592, 116.14126, 
05.95579, 116.14122, 
05.95560, 116.14113, 
05.95536, 116.14100, 
05.95529, 116.14098, 
05.95486, 116.14092, 
05.95395, 116.14074, 
05.95384, 116.14071, 
05.95379, 116.14069, 
05.95372, 116.14067, 
05.95367, 116.14065, 
05.95361, 116.14064, 
05.95361, 116.14063, 
05.95355, 116.14062, 
05.95349, 116.14060, 
05.95344, 116.14057, 
05.95329, 116.14052, 
05.95324, 116.14049, 
05.95315, 116.14045, 
05.95296, 116.14033, 
05.95292, 116.14032, 
05.95281, 116.14026, 
05.95254, 116.14016, 
05.95236, 116.14000, 
05.95227, 116.13994, 
05.95188, 116.13974, 
05.95170, 116.13967, 
05.95141, 116.13954, 
05.95111, 116.13943, 
05.95080, 116.13934, 
05.95069, 116.13930, 
05.95015, 116.13917, 
05.95013, 116.13917, 
05.94874, 116.13889, 
05.94839, 116.13880, 
05.94789, 116.13865, 
05.94686, 116.13829, 
05.94666, 116.13823, 
05.94646, 116.13815, 
05.94522, 116.13773, 
05.94493, 116.13761, 
05.94353, 116.13713, 
05.94339, 116.13707, 
05.94326, 116.13703, 
05.94289, 116.13694, 
05.94276, 116.13692, 
05.94254, 116.13690, 
05.94241, 116.13688, 
05.94200, 116.13685, 
05.94182, 116.13685, 
05.94173, 116.13684, 
05.94165, 116.13685, 
05.94157, 116.13685, 
05.94142, 116.13689, 
05.94128, 116.13691, 
05.94103, 116.13687, 
05.94084, 116.13687, 
05.94075, 116.13688, 
05.94071, 116.13688, 
05.94062, 116.13687, 
05.94041, 116.13682, 
05.94030, 116.13678, 
05.94021, 116.13677, 
05.94009, 116.13677, 
05.93964, 116.13674, 
05.93946, 116.13674, 
05.93897, 116.13671, 
05.93880, 116.13671, 
05.93864, 116.13670, 
05.93846, 116.13670, 
05.93604, 116.13658, 
05.93586, 116.13658, 
05.93529, 116.13652, 
05.93489, 116.13644, 
05.93473, 116.13639, 
05.93436, 116.13625, 
05.93414, 116.13614, 
05.93386, 116.13597, 
05.93374, 116.13587, 
05.93361, 116.13579, 
05.93331, 116.13555, 
05.93304, 116.13528, 
05.93290, 116.13510, 
05.93272, 116.13483, 
05.93250, 116.13444, 
05.93242, 116.13426, 
05.93229, 116.13389, 
05.93225, 116.13372, 
05.93222, 116.13354, 
05.93205, 116.13292, 
05.93191, 116.13249, 
05.93178, 116.13221, 
05.93170, 116.13209, 
05.93165, 116.13200, 
05.93164, 116.13200, 
05.93151, 116.13181, 
05.93117, 116.13142, 
05.93099, 116.13126, 
05.93087, 116.13114, 
05.93050, 116.13088, 
05.92991, 116.13057, 
05.92965, 116.13042, 
05.92901, 116.13000, 
05.92876, 116.12988, 
05.92872, 116.12987, 
05.92814, 116.12960, 
05.92791, 116.12948, 
05.92778, 116.12938, 
05.92742, 116.12916, 
05.92652, 116.12865, 
05.92579, 116.12828, 
05.92565, 116.12823, 
05.92555, 116.12818, 
05.92554, 116.12817, 
05.92539, 116.12811, 
05.92491, 116.12789, 
05.92470, 116.12783, 
05.92446, 116.12771, 
05.92352, 116.12730, 
05.92304, 116.12705, 
05.92197, 116.12654, 
05.92132, 116.12626, 
05.92081, 116.12602, 
05.92029, 116.12583, 
05.91991, 116.12566, 
05.91971, 116.12560, 
05.91954, 116.12553, 
05.91939, 116.12550, 
05.91936, 116.12550, 
05.91920, 116.12546, 
05.91896, 116.12542, 
05.91843, 116.12537, 
05.91802, 116.12528, 
05.91780, 116.12528, 
05.91742, 116.12530, 
05.91716, 116.12534, 
05.91668, 116.12539, 
05.91576, 116.12544, 
05.91543, 116.12549, 
05.91512, 116.12551, 
05.91494, 116.12550, 
05.91451, 116.12545, 
05.91435, 116.12542, 
05.91393, 116.12530, 
05.91376, 116.12524, 
05.91354, 116.12512, 
05.91351, 116.12511, 
05.91323, 116.12492, 
05.91286, 116.12460, 
05.91267, 116.12442, 
05.91232, 116.12405, 
05.91151, 116.12276, 
05.91129, 116.12244, 
05.91089, 116.12181, 
05.91063, 116.12132, 
05.91053, 116.12116, 
05.91043, 116.12092, 
05.91036, 116.12065, 
